neo_state_code	neo_county_code	reference_recording_year	reference_doc_number	neo_ref_inst_nbr	neo_ref_inst_nbr_alias
FL	36	2022	E2022000106428	E202200010642	
FL	09	2021	E2021043788	2021E20210437	
FL	36	2021	E2021000338954	E202100033895	
FL	36	2020	E2020000203515	E202000020351	
FL	29	2021	E2021167809	2021E20211678	
FL	29	2016	E2016267236	2016E20162672	
FL	29	2021	E2021280946	2021E20212809	
FL	29	2022	E2022172177	2022E20221721	
FL	36	2021	E2021000342809	E202100034280	
FL	36	2021	E2021000177180	E202100017718	
FL	48	2020	E20200684041	E20200684041	
FL	36	2022	E2022000221000	E202200022100	
FL	50	2020	E 20200130759	E20200130759	
FL	29	2022	E2022134596	2022E20221345	
FL	48	2022	E20220332836	E20220332836	
FL	29	2022	E2022186049	2022E20221860	
FL	48	2021	E20210551951	E20210551951	
FL	48	2020	E 20200226743	E20200226743	
FL	50	2020	E 20200131121	E20200131121	
FL	48	2020	E20200210452	E20200210452	
FL	36	2021	E2021000413495	E202100041349	
FL	50	2020	E 20200130596	E20200130596	
FL	50	2020	E 20200027833	E20200027833	
FL	48	2022	E20220323327	E20220323327	
FL	29	2020	E2020104415	2020E20201044	
FL	48	2020	E20200356012	E20200356012	
FL	36	2020	E2020000127357	E202000012735	
FL	50	2020	E 20200130786	E20200130786	
FL	29	2018	E2018498147	2018E20184981	
FL	48	2022	E20220259920	E20220259920	
FL	29	2022	E2022187888	2022E20221878	
FL	29	2021	E2021333832	2021E20213338	
FL	50	2020	E 20200130846	E20200130846	
FL	29	2021	E2021292956	2021E20212929	
FL	36	2020	E2020000318132	E202000031813	
FL	29	2022	E2022191735	2022E20221917	
FL	48	2022	E20220203767	E20220203767	
FL	48	2021	E20210508259	E20210508259	
FL	48	2021	E20210423673	E20210423673	
FL	29	2020	E2020140163	2020E20201401	
FL	36	2020	E2020000085606	E202000008560	
FL	48	2020	E 20200230730	E20200230730	
FL	29	2020	E2020197204	2020E20201972	
FL	29	2020	E2020121400	2020E20201214	
FL	29	2020	E2020014770	2020E20200147	
FL	50	2020	E 20200130505	E20200130505	
FL	50	2020	E 20200130535	E20200130535	
FL	50	2020	E 20200130496	E20200130496	
FL	36	2017	E2017000226299	E201700022629	
FL	48	2020	E20200529738	E20200529738	
FL	50	2020	E 20200130625	E20200130625	
FL	48	2021	E20210351830	E20210351830	
